Wall time,Step,Value
1582393665.5643172,418611,1.5638514757156372
1582398457.595202,420017,1.1227939128875732
1582398457.600309,420137,1.4025943279266357
1582398457.6215258,420637,1.4104595184326172
1582398457.6436148,421106,0.7633784413337708
1582398457.6920776,422163,0.8720847964286804
1582398457.7089205,422565,0.6870054602622986
1582398457.718144,422809,0.9734532237052917
1582398457.7374778,423312,0.6259889602661133
1582398457.7723763,424188,0.8452426791191101
1582398457.7997596,424869,0.7816336750984192
1582398457.8777537,426532,0.743901789188385
1582398457.9254067,427507,0.8608622550964355
1582398457.968305,428468,0.8298857808113098
1582398457.982734,428753,0.9548724293708801
1582403156.5778036,430037,0.5444794297218323
1582403156.6040602,430619,0.7498863935470581
1582403156.6486166,431576,0.8339880108833313
1582403156.6673281,432057,0.7852237820625305
1582403156.715237,433260,0.9850119352340698
1582403156.7324858,433575,0.9115926027297974
1582403156.8060548,435132,1.072902798652649
1582403156.8342035,435732,0.6932253837585449
1582403156.8901432,437073,0.760467529296875
1582403156.898148,437271,1.0010919570922852
1582403157.0042207,439911,0.7936582565307617
1582409154.6664696,440523,0.8662585020065308
1582409154.672688,440672,1.3408546447753906
1582409154.6954246,441211,0.7657204866409302
1582409154.788037,443309,0.8995988368988037
1582409154.8088856,443826,0.5941900610923767
1582409154.959369,447251,0.7534630298614502
1582409154.9606397,447290,1.282159447669983
1582409154.9739754,447637,0.6568364500999451
1582409154.992509,448055,0.6387413740158081
1582409155.0257983,448840,0.8408684730529785
1582409155.0673072,449876,1.0819967985153198
1582415263.1228085,450352,0.9526708126068115
1582415263.220702,452504,0.9896016120910645
1582415263.2560174,453395,0.6777234077453613
1582415263.2678142,453641,0.9835205674171448
1582415263.2835934,453998,0.7779876589775085
1582415263.292547,454222,0.7367850542068481
1582415263.30152,454432,0.9038388729095459
1582415263.345449,455433,0.6267153024673462
1582415263.346865,455466,0.9540218710899353
1582415263.4340923,457549,0.9232553839683533
1582415263.4951975,459020,0.9736296534538269
1582415263.5098085,459399,0.5862781405448914
1582421304.1999724,460676,0.7908530235290527
1582421304.3212335,463450,0.9170622825622559
1582421304.390672,464982,1.1895958185195923
1582421304.4074404,465367,0.7547411322593689
1582421304.4315052,466005,1.0284918546676636
1582421304.5360272,468334,1.3659111261367798
1582421304.5902069,469524,0.9290357828140259
1582427313.7248743,471271,0.7462018728256226
1582427313.76237,472062,0.7569040060043335
1582427313.8501275,473601,0.8314668536186218
1582427314.0073316,477161,0.784659206867218
1582427314.021448,477493,0.6633749604225159
1582427314.0279434,477649,1.0847612619400024
1582427314.0328436,477755,0.7803520560264587
1582433395.9002073,480482,0.5642111301422119
1582433395.9376576,481326,0.9869386553764343
1582433395.9419854,481440,1.0702810287475586
1582433395.9504333,481664,0.804165780544281
1582433395.9590375,481898,0.9325485229492188
1582433395.9673963,482123,0.8536908030509949
1582433395.9677653,482133,0.4566097557544708
1582433396.0253863,483489,0.5643607378005981
1582433396.0388963,483738,0.5796436667442322
1582433396.0533576,484040,0.530585527420044
1582433396.0586877,484163,0.4895356595516205
1582433396.0869741,484796,0.8509668707847595
1582433396.1136715,485407,0.6689075827598572
1582433396.1538408,486146,0.7404289841651917
1582433396.1614344,486308,0.6316261887550354
1582433396.33038,489941,0.5507180690765381
1582433396.331417,489970,0.7886219620704651
1582439419.045101,490080,1.0460565090179443
1582439419.1050587,491527,0.943107545375824
1582439419.1818085,493434,0.6761319637298584
1582439419.2744176,495516,0.5905011892318726
1582439419.443422,499205,0.6743170619010925
1582445615.7883654,503883,0.777891993522644
1582445615.7982955,504119,0.6409814357757568
1582445615.8663285,505680,0.5461763739585876
1582445615.9004214,506389,0.5106818079948425
1582445615.9117076,506655,0.7882952094078064
1582445616.0192235,509120,0.4816340208053589
1582451706.760842,513048,0.620622992515564
1582451706.7891145,513733,0.8216173648834229
1582451706.8342073,514768,0.5797848701477051
1582451706.834225,514769,0.5187077522277832
1582451706.8639998,515495,0.5174230337142944
1582451706.8945618,516190,0.7071499824523926
1582451706.9254165,516809,0.8110844492912292
1582451706.9730353,517863,0.9400720000267029
1582451707.0434916,519461,0.7979311347007751
1582457792.4013903,520528,0.4045484662055969
1582457792.4077365,520684,0.4856068789958954
1582457792.4503355,521625,0.6515872478485107
1582457792.464556,521939,0.5124688744544983
1582457792.5310917,523409,0.4504336416721344
1582457792.551972,523841,0.5395047664642334
1582457792.5592992,524008,0.726844072341919
1582457792.7746751,528554,0.2893429398536682
1582457792.7908933,528936,0.33208292722702026
1582463954.9072022,530205,0.3581033945083618
1582463954.9249725,530674,0.5072214603424072
1582463955.0214245,533016,0.7284210324287415
1582463955.0602868,533866,0.31702956557273865
1582463955.0674124,533996,1.034318208694458
1582463955.0838175,534296,0.6004912257194519
1582463955.0892386,534414,0.4380498230457306
1582463955.0966423,534564,0.2991802990436554
1582463955.1357207,535407,0.4240199029445648
1582463955.1417265,535532,0.39986011385917664
1582463955.2023063,536825,0.31061094999313354
1582463955.235026,537668,0.5465124249458313
1582463955.2455096,537908,1.1039447784423828
1582463955.2680752,538432,0.44585931301116943
1582463955.3039951,539255,0.452982634305954
1582463955.3230505,539695,0.41635364294052124
1582470081.1791747,541232,0.46490103006362915
1582470081.1956713,541641,0.48531365394592285
1582470081.2078063,541963,0.4820720851421356
1582470081.3368614,544936,0.8208086490631104
1582470081.4138427,546648,0.425846129655838
1582470081.4474027,547522,0.49566152691841125
1582470081.5025413,548779,0.37692397832870483
1582476103.8604233,550140,0.3690096437931061
1582476103.9585714,552247,0.4350024163722992
1582476103.9719946,552535,0.3898122012615204
1582476104.0161576,553443,0.5036265850067139
1582476104.0622633,554464,0.3163681626319885
1582476104.0758226,554729,0.34342655539512634
1582476104.2282944,558307,0.6936483979225159
1582476104.2899609,559674,0.4291854500770569
1582482311.2691207,561544,0.3439463675022125
1582482311.286349,561933,0.37985676527023315
1582482311.2924306,562034,0.5681424140930176
1582482311.312568,562484,0.5292022824287415
1582482311.345787,563249,0.4301280677318573
1582482311.3482287,563313,0.3745806813240051
1582482311.372708,563920,0.5439272522926331
1582482311.3820753,564151,0.33399492502212524
1582482311.3864355,564255,0.3389855623245239
1582482311.391332,564380,0.5138620138168335
